Table	Name	ExternalIdentifierType	ExternalIdentifierValue
Office	North Carolina;General Assembly Senate District 48	nc_general	NC STATE SENATE DISTRICT 48
Office	North Carolina;General Assembly Senate District 49	nc_general	NC STATE SENATE DISTRICT 49
Office	North Carolina;General Assembly Senate District 50	nc_general	NC STATE SENATE DISTRICT 50
Office	North Carolina;US Congress House of Representatives District 1	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 01
Office	North Carolina;US Congress House of Representatives District 2	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 02
Office	North Carolina;US Congress House of Representatives District 3	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 03
Office	North Carolina;US Congress House of Representatives District 4	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 04
Office	North Carolina;US Congress House of Representatives District 5	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 05
Office	North Carolina;US Congress House of Representatives District 6	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 06
Office	North Carolina;US Congress House of Representatives District 7	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 07
Office	North Carolina;US Congress House of Representatives District 8	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 08
Office	North Carolina;US Congress House of Representatives District 9	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 09
Office	North Carolina;US Congress House of Representatives District 10	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 10
Office	North Carolina;US Congress House of Representatives District 11	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 11
Office	North Carolina;US Congress House of Representatives District 12	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 12
Office	North Carolina;US Congress House of Representatives District 13	nc_general	US HOUSE OF REPRESENTATIVES DISTRICT 13
Party	North Carolina Constitution Party	nc_general	CST
Party	North Carolina Democratic Party	nc_general	DEM
Party	North Carolina Libertarian Party	nc_general	LIB
Party	North Carolina Green Party	nc_general	GRE
Party	North Carolina Republican Party	nc_general	REP
Party	North Carolina Unaffiliated Voter	nc_general	UNA
ReportingUnit	North Carolina;Alamance County	nc_general	ALAMANCE
ReportingUnit	North Carolina;Alexander County	nc_general	ALEXANDER
ReportingUnit	North Carolina;Alleghany County	nc_general	ALLEGHANY
ReportingUnit	North Carolina;Anson County	nc_general	ANSON
ReportingUnit	North Carolina;Ashe County	nc_general	ASHE
ReportingUnit	North Carolina;Avery County	nc_general	AVERY
ReportingUnit	North Carolina;Beaufort County	nc_general	BEAUFORT
ReportingUnit	North Carolina;Bertie County	nc_general	BERTIE
ReportingUnit	North Carolina;Bladen County	nc_general	BLADEN
ReportingUnit	North Carolina;Brunswick County	nc_general	BRUNSWICK
ReportingUnit	North Carolina;Cabarrus County	nc_general	CABARRUS
ReportingUnit	North Carolina;Caldwell County	nc_general	CALDWELL
ReportingUnit	North Carolina;Camden County	nc_general	CAMDEN
ReportingUnit	North Carolina;Carteret County	nc_general	CARTERET
ReportingUnit	North Carolina;Caswell County	nc_general	CASWELL
ReportingUnit	North Carolina;Catawba County	nc_general	CATAWBA
ReportingUnit	North Carolina;Chatham County	nc_general	CHATHAM
ReportingUnit	North Carolina;Cherokee County	nc_general	CHEROKEE
ReportingUnit	North Carolina;Chowan County	nc_general	CHOWAN
ReportingUnit	North Carolina;Clay County	nc_general	CLAY
ReportingUnit	North Carolina;Cleveland County	nc_general	CLEVELAND
ReportingUnit	North Carolina;Columbus County	nc_general	COLUMBUS
ReportingUnit	North Carolina;Craven County	nc_general	CRAVEN
ReportingUnit	North Carolina;Cumberland County	nc_general	CUMBERLAND
ReportingUnit	North Carolina;Currituck County	nc_general	CURRITUCK
ReportingUnit	North Carolina;Dare County	nc_general	DARE
ReportingUnit	North Carolina;Davidson County	nc_general	DAVIDSON
ReportingUnit	North Carolina;Davie County	nc_general	DAVIE
ReportingUnit	North Carolina;Duplin County	nc_general	DUPLIN
ReportingUnit	North Carolina;Durham County	nc_general	DURHAM
ReportingUnit	North Carolina;Edgecombe County	nc_general	EDGECOMBE
ReportingUnit	North Carolina;Forsyth County	nc_general	FORSYTH
ReportingUnit	North Carolina;Franklin County	nc_general	FRANKLIN
ReportingUnit	North Carolina;Gaston County	nc_general	GASTON
ReportingUnit	North Carolina;Gates County	nc_general	GATES
ReportingUnit	North Carolina;Graham County	nc_general	GRAHAM
ReportingUnit	North Carolina;Granville County	nc_general	GRANVILLE
ReportingUnit	North Carolina;Greene County	nc_general	GREENE
ReportingUnit	North Carolina;Guilford County	nc_general	GUILFORD
ReportingUnit	North Carolina;Halifax County	nc_general	HALIFAX
ReportingUnit	North Carolina;Harnett County	nc_general	HARNETT
ReportingUnit	North Carolina;Haywood County	nc_general	HAYWOOD
ReportingUnit	North Carolina;Henderson County	nc_general	HENDERSON
ReportingUnit	North Carolina;Hertford County	nc_general	HERTFORD
ReportingUnit	North Carolina;Hoke County	nc_general	HOKE
ReportingUnit	North Carolina;Hyde County	nc_general	HYDE
ReportingUnit	North Carolina;Iredell County	nc_general	IREDELL
ReportingUnit	North Carolina;Jackson County	nc_general	JACKSON
ReportingUnit	North Carolina;Johnston County	nc_general	JOHNSTON
ReportingUnit	North Carolina;Jones County	nc_general	JONES
ReportingUnit	North Carolina;Lee County	nc_general	LEE
ReportingUnit	North Carolina;Lenoir County	nc_general	LENOIR
ReportingUnit	North Carolina;Lincoln County	nc_general	LINCOLN
ReportingUnit	North Carolina;McDowell County	nc_general	MCDOWELL
ReportingUnit	North Carolina;Macon County	nc_general	MACON
ReportingUnit	North Carolina;Madison County	nc_general	MADISON
ReportingUnit	North Carolina;Martin County	nc_general	MARTIN
ReportingUnit	North Carolina;Mecklenburg County	nc_general	MECKLENBURG
ReportingUnit	North Carolina;Mitchell County	nc_general	MITCHELL
ReportingUnit	North Carolina;Montgomery County	nc_general	MONTGOMERY
ReportingUnit	North Carolina;Moore County	nc_general	MOORE
ReportingUnit	North Carolina;Nash County	nc_general	NASH
ReportingUnit	North Carolina;New Hanover County	nc_general	NEW HANOVER
ReportingUnit	North Carolina;Northampton County	nc_general	NORTHAMPTON
ReportingUnit	North Carolina;Onslow County	nc_general	ONSLOW
ReportingUnit	North Carolina;Orange County	nc_general	ORANGE
ReportingUnit	North Carolina;Pamlico County	nc_general	PAMLICO
ReportingUnit	North Carolina;Pasquotank County	nc_general	PASQUOTANK
ReportingUnit	North Carolina;Pender County	nc_general	PENDER
ReportingUnit	North Carolina;Perquimans County	nc_general	PERQUIMANS
ReportingUnit	North Carolina;Person County	nc_general	PERSON
ReportingUnit	North Carolina;Pitt County	nc_general	PITT
ReportingUnit	North Carolina;Polk County	nc_general	POLK
ReportingUnit	North Carolina;Randolph County	nc_general	RANDOLPH
ReportingUnit	North Carolina;Richmond County	nc_general	RICHMOND
ReportingUnit	North Carolina;Robeson County	nc_general	ROBESON
ReportingUnit	North Carolina;Rockingham County	nc_general	ROCKINGHAM
ReportingUnit	North Carolina;Rowan County	nc_general	ROWAN
ReportingUnit	North Carolina;Rutherford County	nc_general	RUTHERFORD
ReportingUnit	North Carolina;Sampson County	nc_general	SAMPSON
ReportingUnit	North Carolina;Scotland County	nc_general	SCOTLAND
ReportingUnit	North Carolina;Stanly County	nc_general	STANLY
ReportingUnit	North Carolina;Stokes County	nc_general	STOKES
ReportingUnit	North Carolina;Surry County	nc_general	SURRY
ReportingUnit	North Carolina;Swain County	nc_general	SWAIN
ReportingUnit	North Carolina;Transylvania County	nc_general	TRANSYLVANIA
ReportingUnit	North Carolina;Tyrrell County	nc_general	TYRRELL
ReportingUnit	North Carolina;Union County	nc_general	UNION
ReportingUnit	North Carolina;Vance County	nc_general	VANCE
ReportingUnit	North Carolina;Wake County	nc_general	WAKE
ReportingUnit	North Carolina;Warren County	nc_general	WARREN
ReportingUnit	North Carolina;Washington County	nc_general	WASHINGTON
ReportingUnit	North Carolina;Watauga County	nc_general	WATAUGA
ReportingUnit	North Carolina;Wayne County	nc_general	WAYNE
ReportingUnit	North Carolina;Wilkes County	nc_general	WILKES
ReportingUnit	North Carolina;Wilson County	nc_general	WILSON
ReportingUnit	North Carolina;Yadkin County	nc_general	YADKIN
ReportingUnit	North Carolina;Yancey County	nc_general	YANCEY
ReportingUnit	North Carolina;Alamance County;Precinct 064	nc_general	ALAMANCE;064
ReportingUnit	North Carolina;Alamance County;Precinct 03N	nc_general	ALAMANCE;03N
ReportingUnit	North Carolina;Alamance County;Precinct 03S	nc_general	ALAMANCE;03S
ReportingUnit	North Carolina;Alamance County;Precinct 04	nc_general	ALAMANCE;04
ReportingUnit	North Carolina;Alamance County;Precinct 035	nc_general	ALAMANCE;035
ReportingUnit	North Carolina;Alamance County;Precinct 07	nc_general	ALAMANCE;07
ReportingUnit	North Carolina;Alamance County;Precinct 09S	nc_general	ALAMANCE;09S
ReportingUnit	North Carolina;Alamance County;Precinct 12S	nc_general	ALAMANCE;12S
ReportingUnit	North Carolina;Alamance County;Precinct 03N2	nc_general	ALAMANCE;03N2
ReportingUnit	North Carolina;Alamance County;Precinct 03W	nc_general	ALAMANCE;03W
ReportingUnit	North Carolina;Alamance County;Precinct 01	nc_general	ALAMANCE;01
ReportingUnit	North Carolina;Alamance County;Precinct 103	nc_general	ALAMANCE;103
ReportingUnit	North Carolina;Alamance County;Precinct 1210	nc_general	ALAMANCE;1210
ReportingUnit	North Carolina;Alamance County;Precinct 063	nc_general	ALAMANCE;063
ReportingUnit	North Carolina;Alamance County;Precinct 127	nc_general	ALAMANCE;127
ReportingUnit	North Carolina;Alamance County;Precinct 125	nc_general	ALAMANCE;125
ReportingUnit	North Carolina;Alamance County;Precinct 10S	nc_general	ALAMANCE;10S
ReportingUnit	North Carolina;Alamance County;Precinct 06N	nc_general	ALAMANCE;06N
