	Name	ReportingUnitType
462	North Carolina;Buncombe County;42.1	precinct
463	North Carolina;Buncombe County;51.2	precinct
464	North Carolina;Buncombe County;52.1	precinct
465	North Carolina;Buncombe County;71.1	precinct
466	North Carolina;Buncombe County;OS ACCC	vote-center
467	North Carolina;Buncombe County;OS ABTC	vote-center
468	North Carolina;Buncombe County;OS NABL	vote-center
469	North Carolina;Buncombe County;OS NHPC	vote-center
470	North Carolina;Buncombe County;OS WOCO	vote-center
471	North Carolina;Buncombe County;08.3	precinct
472	North Carolina;Buncombe County;14.3	precinct
473	North Carolina;Buncombe County;26.1	precinct
474	North Carolina;Buncombe County;28.1	precinct
475	North Carolina;Buncombe County;30.2	precinct
476	North Carolina;Buncombe County;33.2	precinct
477	North Carolina;Buncombe County;41.1	precinct
478	North Carolina;Buncombe County;62.1	precinct
479	North Carolina;Buncombe County;OS BMBL	vote-center
480	North Carolina;Buncombe County;34.1	precinct
481	North Carolina;Buncombe County;39.2	precinct
482	North Carolina;Buncombe County;64.1	precinct
483	North Carolina;Buncombe County;OS PACK	vote-center
484	North Carolina;Buncombe County;22.2	precinct
485	North Carolina;Buncombe County;31.1	precinct
486	North Carolina;Buncombe County;36.1	precinct
487	North Carolina;Buncombe County;47.1	precinct
488	North Carolina;Buncombe County;OS PCBC	vote-center
489	North Carolina;Buncombe County;OS SBBL	vote-center
490	North Carolina;Buncombe County;PROVISIONAL	provisional
491	North Carolina;Buncombe County;05.1	precinct
492	North Carolina;Buncombe County;60.2	precinct
493	North Carolina;Buncombe County;67.1	precinct
494	North Carolina;Buncombe County;OS WVTH	vote-center
495	North Carolina;Buncombe County;11.1	precinct
496	North Carolina;Buncombe County;14.2	precinct
497	North Carolina;Buncombe County;33.3	precinct
498	North Carolina;Buncombe County;37.1	precinct
499	North Carolina;Buncombe County;38.2	precinct
500	North Carolina;Buncombe County;65.1	precinct
501	North Carolina;Buncombe County;OS BTFD	vote-center
502	North Carolina;Buncombe County;TRANSFER	transfer
503	North Carolina;Buncombe County;15.1	precinct
504	North Carolina;Buncombe County;23.2	precinct
505	North Carolina;Buncombe County;24.1	precinct
506	North Carolina;Buncombe County;OS AVML	vote-center
507	North Carolina;Buncombe County;OS LCBL	vote-center
508	North Carolina;Buncombe County;66.1	precinct
509	North Carolina;Buncombe County;70.1	precinct
510	North Carolina;Buncombe County;21.1	precinct
511	North Carolina;Buncombe County;32.1	precinct
512	North Carolina;Buncombe County;39.3	precinct
513	North Carolina;Buncombe County;40.2	precinct
514	North Carolina;Buncombe County;45.1	precinct
515	North Carolina;Buncombe County;49.1	precinct
516	North Carolina;Buncombe County;50.1	precinct
517	North Carolina;Buncombe County;OS ECBL	vote-center
518	North Carolina;Buncombe County;04.1	precinct
519	North Carolina;Buncombe County;13.1	precinct
520	North Carolina;Buncombe County;OS FCAM	vote-center
521	North Carolina;Buncombe County;OS UNCA	vote-center
522	North Carolina;Buncombe County;63.1	precinct
523	North Carolina;Buncombe County;681	precinct
524	North Carolina;Buncombe County;OS WGSC	vote-center
525	North Carolina;Cabarrus County;12-10	precinct
526	North Carolina;Cabarrus County;02-06	precinct
527	North Carolina;Cabarrus County;08-00	precinct
528	North Carolina;Cabarrus County;04-09	precinct
529	North Carolina;Cabarrus County;04-10	precinct
530	North Carolina;Cabarrus County;12-12	precinct
531	North Carolina;Cabarrus County;04-01	precinct
532	North Carolina;Cabarrus County;07-00	precinct
533	North Carolina;Cabarrus County;12-09	precinct
534	North Carolina;Cabarrus County;02-05	precinct
535	North Carolina;Cabarrus County;01-04	precinct
